City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Gravdal,NO,68.1214,13.5031,49.89,87,75,11.5,light rain
329,Diego De Almagro,CL,-26.3667,-70.05,58.03,30,100,2.73,overcast clouds
330,Mikhaylov,RU,54.2292,39.0186,77.13,67,27,3.58,scattered clouds
331,Lashio,MM,22.9333,97.75,77.99,85,100,2.46,overcast clouds
332,Tromso,NO,69.6496,18.957,50.65,87,75,1.99,light intensity shower rain
333,Palmer,US,42.1584,-72.3287,70.68,85,90,1.01,overcast clouds
334,Kautokeino,NO,69.0125,23.0412,50.63,63,99,14.05,overcast clouds
335,Bandarbeyla,SO,9.4942,50.8122,81.34,62,96,30.33,overcast clouds
336,Corn Island,NI,12.1694,-83.0418,82.02,78,100,15.77,overcast clouds
337,Ilinge,ZA,-31.9768,27.0427,39.79,40,0,6.58,clear sky
338,Upernavik,GL,72.7868,-56.1549,36.7,87,100,15.26,overcast clouds
339,Hobyo,SO,5.3505,48.5268,78.04,77,99,28.12,overcast clouds
340,Basco,PH,20.4487,121.9702,83.8,75,100,2.42,overcast clouds
341,Port Blair,IN,11.6667,92.75,79.36,90,100,18.63,overcast clouds
342,Volchanets,RU,42.9131,132.7469,84.52,65,81,6.76,broken clouds
343,Ericeira,PT,38.9627,-9.4156,65.3,90,92,19.35,overcast clouds
344,Port Hardy,CA,50.6996,-127.4199,56.03,82,100,7.29,overcast clouds
